Sales Person,Country,Product,Date,Amount,Boxes Shipped,Revenue per Box,Month
Husein Augar,UK,Almond Choco,2022-05-17,8309.0,166,50.0,5
Kaine Padly,Canada,Choco Coated Almonds,2022-05-18,3164.0,164,19.0,5
Roddy Speechley,UK,Peanut Butter Cubes,2022-08-17,5691.0,171,33.0,8
Ches Bonnell,New Zealand,Eclairs,2022-04-04,490.0,49,10.0,4
Brien Boise,India,85% Dark Bars,2022-08-09,18032.0,205,88.0,8
Brien Boise,New Zealand,Organic Choco Syrup,2022-01-17,637.0,313,2.0,1
Andria Kimpton,Canada,White Choc,2022-02-14,4067.0,29,140.0,2
Gigi Bohling,New Zealand,Orange Choco,2022-05-16,8204.0,307,27.0,5
Ches Bonnell,Canada,Smooth Sliky Salty,2022-03-16,9870.0,121,82.0,3
Husein Augar,Canada,70% Dark Bites,2022-01-31,5131.0,285,18.0,1
Barr Faughny,Canada,Organic Choco Syrup,2022-03-10,1141.0,205,6.0,3
Oby Sorrel,UK,Organic Choco Syrup,2022-06-30,7980.0,157,51.0,6
Van Tuxwell,New Zealand,Eclairs,2022-03-01,5229.0,182,29.0,3
Mallorie Waber,UK,Drinking Coco,2022-05-27,3423.0,100,34.0,5
Oby Sorrel,UK,Milk Bars,2022-07-11,6468.0,223,29.0,7
Karlen McCaffrey,New Zealand,Mint Chip Choco,2022-03-02,4326.0,61,71.0,3
Jehu Rudeforth,USA,Raspberry Choco,2022-03-04,7154.0,133,54.0,3
Kelci Walkden,UK,85% Dark Bars,2022-06-23,3997.0,228,18.0,6
Kelci Walkden,USA,Almond Choco,2022-01-27,5180.0,233,22.0,1
Marney O'Breen,Canada,Orange Choco,2022-01-14,2723.0,425,6.0,1
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,952.0,24,40.0,7
Brien Boise,Canada,Smooth Sliky Salty,2022-05-13,5691.0,495,11.0,5
Barr Faughny,Canada,Baker's Choco Chips,2022-02-03,10969.0,170,65.0,2
Brien Boise,India,Smooth Sliky Salty,2022-05-27,5964.0,26,229.0,5
Jan Morforth,Australia,Drinking Coco,2022-02-18,2821.0,24,118.0,2
Brien Boise,India,Spicy Special Slims,2022-01-28,1302.0,33,39.0,1
Van Tuxwell,UK,Eclairs,2022-06-29,5474.0,109,50.0,6
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,4179.0,276,15.0,1
Jehu Rudeforth,UK,After Nines,2022-06-27,1946.0,164,12.0,6
Barr Faughny,Canada,White Choc,2022-03-29,4291.0,1,4291.0,3
Gunar Cockshoot,India,Organic Choco Syrup,2022-06-03,7196.0,160,45.0,6
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,1939.0,98,20.0,3
Mallorie Waber,India,Eclairs,2022-04-12,10437.0,46,227.0,4
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,6916.0,259,27.0,1
Karlen McCaffrey,UK,50% Dark Bites,2022-04-06,3647.0,310,12.0,4
Kaine Padly,Australia,50% Dark Bites,2022-08-02,8995.0,78,115.0,8
Gigi Bohling,Australia,Eclairs,2022-04-12,7252.0,136,53.0,4
Oby Sorrel,India,Drinking Coco,2022-07-21,16380.0,130,126.0,7
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,9660.0,24,402.0,3
Husein Augar,India,Peanut Butter Cubes,2022-05-09,4522.0,5,904.0,5
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,329.0,109,3.0,8
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,3458.0,294,12.0,7
Brien Boise,India,70% Dark Bites,2022-04-14,4641.0,413,11.0,4
Jehu Rudeforth,Canada,White Choc,2022-01-25,4627.0,136,34.0,1
Andria Kimpton,Australia,Almond Choco,2022-04-25,3192.0,175,18.0,4
Dotty Strutley,Canada,After Nines,2022-01-17,252.0,237,1.0,1
Karlen McCaffrey,USA,Eclairs,2022-08-15,868.0,125,7.0,8
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,210.0,16,13.0,6
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,7007.0,135,52.0,6
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,5845.0,91,64.0,2
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,1372.0,614,2.0,2
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,8428.0,216,39.0,1
Camilla Castle,UK,Mint Chip Choco,2022-05-26,4977.0,317,16.0,5
Brien Boise,USA,70% Dark Bites,2022-04-14,1694.0,21,81.0,4
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,4326.0,154,28.0,8
Mallorie Waber,Australia,Eclairs,2022-08-22,9527.0,222,43.0,8
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766.0,157,69.0,7
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,1288.0,27,48.0,4
Kelci Walkden,Australia,Almond Choco,2022-05-30,4879.0,350,14.0,5
Ches Bonnell,USA,Milk Bars,2022-07-21,2408.0,157,15.0,7
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,3094.0,468,7.0,8
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,7231.0,130,56.0,6
Oby Sorrel,India,85% Dark Bars,2022-07-05,8981.0,130,69.0,7
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,7.0,518,0.0,4
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372.0,105,13.0,8
Jan Morforth,UK,50% Dark Bites,2022-01-12,5250.0,293,18.0,1
Gunar Cockshoot,Canada,White Choc,2022-08-11,7560.0,15,504.0,8
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,5012.0,384,13.0,1
Husein Augar,UK,Baker's Choco Chips,2022-04-29,3038.0,135,23.0,4
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099.0,92,12.0,7
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,7413.0,4,1853.0,3
Madelene Upcott,UK,70% Dark Bites,2022-02-16,5397.0,239,23.0,2
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,2303.0,33,70.0,1
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,1141.0,518,2.0,1
Beverie Moffet,India,Eclairs,2022-06-09,10325.0,147,70.0,6
Andria Kimpton,India,Eclairs,2022-05-16,2149.0,84,26.0,5
Gigi Bohling,UK,85% Dark Bars,2022-06-23,12362.0,94,132.0,6
Roddy Speechley,UK,Raspberry Choco,2022-01-28,12635.0,194,65.0,1
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,2443.0,216,11.0,7
Barr Faughny,Canada,Drinking Coco,2022-04-18,6237.0,247,25.0,4
Oby Sorrel,USA,Milk Bars,2022-06-14,1736.0,79,22.0,6
Oby Sorrel,UK,Orange Choco,2022-04-15,7315.0,237,31.0,4
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,4935.0,63,78.0,5
Gigi Bohling,India,White Choc,2022-04-13,1393.0,172,8.0,4
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,3381.0,408,8.0,8
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,2933.0,233,13.0,8
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,3836.0,59,65.0,4
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,8022.0,123,65.0,8
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,371.0,229,2.0,1
Kelci Walkden,Canada,After Nines,2022-01-13,16702.0,198,84.0,1
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,13258.0,32,414.0,5
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,2058.0,236,9.0,2
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,10192.0,67,152.0,5
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,7140.0,438,16.0,2
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,9835.0,167,59.0,5
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,5775.0,135,43.0,6
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,749.0,148,5.0,3
Camilla Castle,Canada,Orange Choco,2022-02-17,7770.0,54,144.0,2
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502.0,64,86.0,7
Oby Sorrel,UK,70% Dark Bites,2022-03-16,6223.0,181,34.0,3
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,3507.0,114,31.0,8
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600.0,181,31.0,1
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,721.0,151,5.0,5
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,6615.0,137,48.0,6
Barr Faughny,USA,White Choc,2022-05-05,7420.0,163,46.0,5
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164.0,84,38.0,3
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,9114.0,140,65.0,2
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,5404.0,187,29.0,5
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,3990.0,169,24.0,1
Ches Bonnell,UK,85% Dark Bars,2022-06-28,14924.0,12,1244.0,6
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,7091.0,194,37.0,7
Roddy Speechley,USA,Milk Bars,2022-05-16,2807.0,252,11.0,5
Jan Morforth,India,After Nines,2022-03-14,6496.0,168,39.0,3
Gunar Cockshoot,USA,After Nines,2022-08-15,3738.0,261,14.0,8
Ches Bonnell,India,Orange Choco,2022-02-16,1190.0,256,5.0,2
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,8379.0,43,195.0,6
Barr Faughny,Australia,Raspberry Choco,2022-05-27,9268.0,100,93.0,5
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,1029.0,98,10.0,6
Wilone O'Kielt,India,Eclairs,2022-02-25,3549.0,76,47.0,2
Wilone O'Kielt,India,After Nines,2022-08-04,12026.0,262,46.0,8
Kelci Walkden,India,99% Dark & Pure,2022-06-28,2303.0,244,9.0,6
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,13405.0,12,1117.0,4
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,14763.0,113,131.0,7
Kaine Padly,New Zealand,Eclairs,2022-01-20,12894.0,48,269.0,1
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,8302.0,131,63.0,2
Curtice Advani,UK,Drinking Coco,2022-07-12,455.0,174,3.0,7
Kelci Walkden,India,Raspberry Choco,2022-06-16,8183.0,254,32.0,6
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,1645.0,284,6.0,4
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143.0,67,47.0,2
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,5873.0,249,24.0,5
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298.0,313,36.0,4
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,12425.0,167,74.0,6
Oby Sorrel,UK,White Choc,2022-06-27,1715.0,286,6.0,6
Barr Faughny,India,After Nines,2022-07-29,8190.0,109,75.0,7
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,4991.0,166,30.0,6
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491.0,85,182.0,1
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096.0,142,36.0,3
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063.0,104,68.0,1
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275.0,115,20.0,6
Barr Faughny,Canada,Orange Choco,2022-06-30,7602.0,18,422.0,6
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200.0,80,52.0,7
Oby Sorrel,India,Spicy Special Slims,2022-06-08,11137.0,88,127.0,6
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,3388.0,212,16.0,8
Kaine Padly,Australia,After Nines,2022-04-08,6832.0,306,22.0,4
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.0,181,19.0,8
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301.0,65,5.0,8
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869.0,158,12.0,1
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,17465.0,271,64.0,8
Madelene Upcott,USA,Almond Choco,2022-05-31,10143.0,24,423.0,5
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626.0,10,363.0,7
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,3346.0,304,11.0,3
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321.0,88,72.0,7
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,9345.0,133,70.0,8
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,15008.0,165,91.0,3
Kelci Walkden,New Zealand,White Choc,2022-04-13,7609.0,150,51.0,4
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332.0,180,57.0,2
Mallorie Waber,India,White Choc,2022-07-26,819.0,213,4.0,7
Brien Boise,UK,Drinking Coco,2022-01-27,5754.0,133,43.0,1
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28.0,446,0.0,4
Oby Sorrel,USA,Almond Choco,2022-05-19,6440.0,141,46.0,5
Husein Augar,India,Eclairs,2022-02-09,4956.0,58,85.0,2
Brien Boise,UK,Spicy Special Slims,2022-05-25,2352.0,58,41.0,5
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906.0,76,51.0,1
Beverie Moffet,India,White Choc,2022-07-04,1813.0,296,6.0,7
Ches Bonnell,India,Almond Choco,2022-04-13,11788.0,73,161.0,4
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768.0,119,48.0,1
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401.0,78,31.0,4
Camilla Castle,USA,Eclairs,2022-06-10,4515.0,392,12.0,6
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794.0,51,212.0,8
Van Tuxwell,India,After Nines,2022-06-27,13706.0,207,66.0,6
Husein Augar,India,Orange Choco,2022-06-30,4361.0,40,109.0,6
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122.0,100,101.0,8
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994.0,57,17.0,8
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268.0,42,54.0,8
Gigi Bohling,Australia,Orange Choco,2022-03-09,574.0,156,4.0,3
Kelci Walkden,UK,Drinking Coco,2022-04-20,1792.0,23,78.0,4
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,4844.0,539,9.0,6
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938.0,158,6.0,2
Brien Boise,Australia,White Choc,2022-08-25,4879.0,22,222.0,8
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107.0,73,125.0,2
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187.0,27,451.0,5
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670.0,64,89.0,6
Gigi Bohling,USA,Milk Bars,2022-06-16,476.0,133,4.0,6
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,2681.0,149,18.0,3
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533.0,434,4.0,3
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765.0,85,115.0,1
Beverie Moffet,Canada,Drinking Coco,2022-07-05,994.0,118,8.0,7
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,3318.0,299,11.0,3
Mallorie Waber,Canada,Almond Choco,2022-05-12,4214.0,35,120.0,5
Oby Sorrel,USA,Drinking Coco,2022-03-11,7714.0,44,175.0,3
Brien Boise,New Zealand,Eclairs,2022-07-11,4690.0,299,16.0,7
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,13062.0,62,211.0,8
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,12488.0,200,62.0,2
Curtice Advani,USA,After Nines,2022-04-13,14147.0,235,60.0,4
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49.0,363,0.0,2
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199.0,68,150.0,3
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,11389.0,26,438.0,4
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,3584.0,200,18.0,4
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.0,264,47.0,3
Kaine Padly,USA,Spicy Special Slims,2022-06-13,2107.0,175,12.0,6
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603.0,352,24.0,2
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483.0,183,41.0,4
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381.0,417,8.0,2
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,2030.0,146,14.0,8
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,6559.0,158,42.0,4
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822.0,168,64.0,1
Kaine Padly,UK,After Nines,2022-01-21,18697.0,176,106.0,1
Kaine Padly,Canada,After Nines,2022-08-22,5845.0,172,34.0,8
Kaine Padly,UK,Drinking Coco,2022-01-27,2317.0,224,10.0,1
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150.0,68,149.0,2
Dotty Strutley,USA,Raspberry Choco,2022-01-03,3437.0,46,75.0,1
Karlen McCaffrey,USA,White Choc,2022-08-24,4592.0,2,2296.0,8
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,5691.0,417,14.0,2
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,4158.0,109,38.0,2
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,5684.0,81,70.0,3
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693.0,350,2.0,6
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546.0,142,4.0,4
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263.0,264,16.0,7
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,1036.0,20,52.0,6
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,13846.0,421,33.0,1
Beverie Moffet,UK,50% Dark Bites,2022-02-09,2499.0,271,9.0,2
Van Tuxwell,UK,Almond Choco,2022-06-06,10689.0,204,52.0,6
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,5768.0,235,25.0,8
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,2226.0,46,48.0,1
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,10262.0,15,684.0,4
Barr Faughny,UK,Milk Bars,2022-03-02,3864.0,430,9.0,3
Van Tuxwell,Canada,Drinking Coco,2022-06-15,4900.0,709,7.0,6
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250.0,47,112.0,2
Husein Augar,UK,After Nines,2022-07-05,3507.0,380,9.0,7
Barr Faughny,India,Mint Chip Choco,2022-01-12,7413.0,465,16.0,1
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.0,96,85.0,3
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,2478.0,188,13.0,5
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471.0,202,12.0,7
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,1666.0,106,16.0,2
Andria Kimpton,India,Orange Choco,2022-05-30,301.0,421,1.0,5
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,8400.0,27,311.0,4
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139.0,45,136.0,2
Kelci Walkden,Australia,Drinking Coco,2022-05-04,1288.0,60,21.0,5
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,7077.0,77,92.0,6
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,2317.0,464,5.0,7
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,63.0,60,1.0,6
Jan Morforth,UK,Almond Choco,2022-07-06,9744.0,157,62.0,7
Husein Augar,India,Raspberry Choco,2022-06-15,9954.0,154,65.0,6
Dotty Strutley,India,Mint Chip Choco,2022-04-14,1260.0,239,5.0,4
Camilla Castle,India,Drinking Coco,2022-08-08,469.0,163,3.0,8
Marney O'Breen,UK,Drinking Coco,2022-03-29,973.0,28,35.0,3
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,3647.0,76,48.0,7
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455.0,96,5.0,2
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,2520.0,156,16.0,5
Van Tuxwell,India,Eclairs,2022-07-21,10500.0,106,99.0,7
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952.0,235,34.0,8
Kaine Padly,USA,85% Dark Bars,2022-06-22,483.0,259,2.0,6
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,4872.0,126,39.0,7
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,7756.0,85,91.0,8
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,5446.0,132,41.0,6
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,6594.0,91,72.0,3
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,1470.0,167,9.0,4
Curtice Advani,Canada,Eclairs,2022-05-06,721.0,203,4.0,5
Roddy Speechley,India,Drinking Coco,2022-05-31,4494.0,11,409.0,5
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674.0,295,9.0,1
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658.0,77,9.0,3
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127.0,319,4.0,2
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364.0,196,38.0,1
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818.0,102,67.0,3
Roddy Speechley,Canada,Drinking Coco,2022-05-17,6776.0,312,22.0,5
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.0,55,275.0,8
Madelene Upcott,Canada,Milk Bars,2022-04-26,3612.0,82,44.0,4
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710.0,260,14.0,4
Oby Sorrel,Canada,Eclairs,2022-05-19,6111.0,591,10.0,5
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,2702.0,24,113.0,1
Mallorie Waber,New Zealand,After Nines,2022-05-04,483.0,228,2.0,5
Roddy Speechley,Canada,White Choc,2022-04-05,5887.0,268,22.0,4
Andria Kimpton,India,After Nines,2022-01-17,952.0,68,14.0,1
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647.0,173,62.0,3
Dotty Strutley,Australia,White Choc,2022-07-05,6055.0,93,65.0,7
Oby Sorrel,Canada,Orange Choco,2022-04-27,8757.0,338,26.0,4
Kaine Padly,Canada,Almond Choco,2022-08-12,6055.0,73,83.0,8
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721.0,251,3.0,3
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,8589.0,229,38.0,5
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,11781.0,91,129.0,5
Brien Boise,USA,Raspberry Choco,2022-01-12,672.0,194,3.0,1
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,12558.0,403,31.0,3
Roddy Speechley,India,50% Dark Bites,2022-03-14,8337.0,12,695.0,3
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,8134.0,195,42.0,5
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,8491.0,75,113.0,1
Beverie Moffet,India,Almond Choco,2022-05-24,3066.0,96,32.0,5
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,301.0,205,1.0,8
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,4410.0,323,14.0,5
Jehu Rudeforth,USA,White Choc,2022-06-07,6559.0,119,55.0,6
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,574.0,217,3.0,7
Dotty Strutley,India,Eclairs,2022-07-28,2086.0,384,5.0,7
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,5075.0,344,15.0,5
Jehu Rudeforth,UK,Mint Chip Choco,2023-01-04,5902.13,178,33.0,1
Van Tuxwell,India,85% Dark Bars,2023-08-01,8074.39,100,81.0,8
Gigi Bohling,India,Peanut Butter Cubes,2023-07-07,4666.18,100,47.0,7
Jan Morforth,Australia,Peanut Butter Cubes,2023-04-27,14103.4,350,40.0,4
Jehu Rudeforth,UK,Peanut Butter Cubes,2023-02-24,14167.84,178,80.0,2
Van Tuxwell,India,Smooth Sliky Salty,2023-06-06,5768.75,37,156.0,6
Oby Sorrel,UK,99% Dark & Pure,2023-01-25,14673.2,175,84.0,1
Gunar Cockshoot,Australia,After Nines,2023-03-24,3249.23,78,42.0,3
Jehu Rudeforth,New Zealand,50% Dark Bites,2023-04-20,4526.24,64,71.0,4
Brien Boise,Australia,99% Dark & Pure,2023-07-04,3166.56,98,32.0,7
Rafaelita Blaksland,UK,Smooth Sliky Salty,2023-01-13,4866.39,65,75.0,1
Barr Faughny,USA,Orange Choco,2023-03-10,4254.37,12,355.0,3
Mallorie Waber,Canada,Eclairs,2023-01-13,1652.61,277,6.0,1
Karlen McCaffrey,New Zealand,Drinking Coco,2023-07-28,171.49,163,1.0,7
Marney O'Breen,New Zealand,Peanut Butter Cubes,2023-08-03,8549.84,169,51.0,8
Beverie Moffet,Australia,Organic Choco Syrup,2023-01-26,7807.74,355,22.0,1
Van Tuxwell,Canada,Organic Choco Syrup,2023-02-14,4561.43,44,104.0,2
Roddy Speechley,USA,Smooth Sliky Salty,2023-04-05,3041.12,148,21.0,4
Beverie Moffet,Canada,Milk Bars,2023-02-16,9786.09,248,39.0,2
Curtice Advani,UK,85% Dark Bars,2023-06-08,1131.25,175,6.0,6
Brien Boise,Australia,Eclairs,2023-06-27,7484.07,94,80.0,6
Gunar Cockshoot,USA,Spicy Special Slims,2023-02-17,1339.61,166,8.0,2
Marney O'Breen,USA,After Nines,2023-05-30,5481.18,159,34.0,5
Husein Augar,UK,Drinking Coco,2023-03-14,3275.4,120,27.0,3
Kaine Padly,Australia,Eclairs,2023-02-28,7677.78,118,65.0,2
Karlen McCaffrey,India,Fruit & Nut Bars,2023-01-26,189.37,315,1.0,1
Roddy Speechley,Canada,Spicy Special Slims,2023-02-09,1658.79,193,9.0,2
Husein Augar,USA,Eclairs,2023-07-07,4168.93,122,34.0,7
Dennison Crosswaite,New Zealand,White Choc,2023-07-05,10604.89,165,64.0,7
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2023-06-15,5773.51,325,18.0,6
Van Tuxwell,New Zealand,85% Dark Bars,2023-05-24,1838.78,121,15.0,5
Rafaelita Blaksland,UK,99% Dark & Pure,2023-06-29,12643.1,150,84.0,6
Wilone O'Kielt,Australia,Manuka Honey Choco,2023-05-11,4439.52,95,47.0,5
Karlen McCaffrey,UK,Almond Choco,2023-06-30,7698.6,126,61.0,6
Andria Kimpton,Canada,After Nines,2023-05-11,2222.3,77,29.0,5
Roddy Speechley,USA,Manuka Honey Choco,2023-07-22,10959.02,302,36.0,7
Andria Kimpton,UK,50% Dark Bites,2023-08-24,2854.85,337,8.0,8
Kelci Walkden,New Zealand,After Nines,2023-07-07,147.82,74,2.0,7
Camilla Castle,Australia,85% Dark Bars,2023-05-19,3790.51,14,271.0,5
Karlen McCaffrey,India,Manuka Honey Choco,2023-07-04,2487.19,583,4.0,7
Kelci Walkden,USA,After Nines,2023-06-02,1021.27,17,60.0,6
Karlen McCaffrey,USA,Raspberry Choco,2023-04-15,15370.06,353,44.0,4
Mallorie Waber,Canada,Choco Coated Almonds,2023-07-11,5345.58,250,21.0,7
